,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
910,4.06,45.87,44.06,48.42,12.39,12.56,13.12,1.15501,13.56,12.41,1797.92
1617,5.17,45.59,43.19,49.88,12.98,12.38,13.23,1.19001,13.12,13.62,1690.58
1618,5.27,43.88,41.1,47.99,12.01,11.45,13.62,0.87497,13.67,21.95,1486.37
1621,5.21,43.66,40.83,47.98,14.07,13.35,14.6,1.53094,13.27,11.29,1796.71
1622,5.33,42.52,39.37,46.74,12.83,11.98,13.36,1.3278,13.31,13.57,1733.81
1623,5.52,41.6,38.2,46.11,13.55,12.57,13.86,1.51868,13.78,12.55,1796.09
1624,5.24,41.62,38.41,46.2,14.29,13.65,15.12,1.44585,13.14,10.38,1768.55
1884,6.98,36.46,36.41,42.83,14.8,15.27,16.03,1.52807,13.07,8.78,1797.76
1886,7.64,37.46,36.91,43.37,14.55,14.32,15.28,1.53139,13.48,9.84,1797.26
1887,7.8,37.28,36.4,43.01,12.29,12.12,13.41,1.29988,14.49,15.12,1726.95
1888,8,37.3,36.32,43.04,13.15,12.85,14.3,1.37915,14.02,12.77,1750.58
1889,8.29,37.49,36.36,43.27,13.98,13.59,14.92,1.53091,14.11,10.42,1796.75
1890,8.43,38.06,36.77,43.73,12.8,12.11,13.67,1.28018,13.18,13.1,1722.21
1915,8.46,44.44,43.35,47.98,14.56,14.49,15.51,1.53178,13.78,9.6,1797.43
1917,7.39,46,43.73,49.72,14.88,14.31,15.34,1.527,13.37,9.34,1798.03
1918,7.16,45.96,43.23,48.99,14.92,14.26,15.25,1.52576,13.16,9.2,1797.62
1921,6.92,46.95,43.92,49.94,15.14,14.53,15.19,1.52613,13.65,9.73,1797.59
1922,7,46.94,43.5,49.26,15.04,13.74,14.61,1.52585,14.12,10.99,1797.15
1936,5.61,45.97,42.39,46.91,16.22,14.68,15.51,1.52685,13.21,8.42,1797.68
1937,5.47,46.49,41.85,47.07,16.17,14.33,15.37,1.52624,13.25,8.72,1797.64
1976,5.74,50.25,46.71,53.48,13.09,12.68,14.36,1.2175,14.11,20.74,1548.1
1977,5.89,49.16,45.55,52.47,13,11.94,13.49,1.01831,13.43,25.59,1405.5
1978,6.44,47.73,43.71,51.04,12.2,11.04,13.45,0.93631,14.07,21.52,1515.48
1979,6.36,46.7,41.89,49.87,11.33,9.69,12.16,0.63762,13.13,23.49,1418.91
1980,6.01,45.99,40.69,48.92,12.94,11.09,13.89,0.93788,13.44,23.05,1482.64
1981,6.06,45.87,40.51,48.21,13.74,12.67,14.33,1.53197,13.65,12.81,1796.45
1982,5.8,46,40.78,48.45,14.28,12.98,14.51,1.3382,13.33,13.68,1700.53
1983,5.64,46.53,41.03,48.8,15.09,13.49,14.8,1.3112,13.82,17.06,1645.7
1984,5.51,46.2,40.56,48.46,13.51,11.97,14.67,0.85079,13.56,27.11,1355.81
1985,5.82,45.86,40.52,49.05,13.84,12.77,14.94,1.27018,13.36,18.14,1612.76
2842,-9.18,-4.66,-5.29,-2.64,14.85,15.18,15.73,1.50066,13.18,8.9,1798.49
2854,-4.98,24.54,25.96,30.14,14.52,14.95,15.46,1.52926,13.32,9.21,1798.35
2855,-4.69,23.95,24.06,29.27,12.85,13.08,13.73,1.52648,14.75,12.62,1797.42
2856,-4.33,24.49,25.54,30.04,14.52,14.67,15.58,1.52711,13.21,9.13,1798.36
2857,-3.81,24.92,25.65,30.28,13.56,13.57,14.55,1.5269,14.28,11.5,1798.11
2858,-3.33,24.83,25.36,30.14,13.52,13.62,14.55,1.52657,14.01,11.03,1798.06
2859,-3.07,25.48,25.92,30.45,13.52,13.62,14.5,1.52658,14.3,10.96,1798.12
2861,-2.92,27.76,28.41,33.68,15.09,15.24,16.36,1.53098,13.02,8.03,1798.31
2864,-1.99,30.03,30.14,36.32,14.51,14.36,15.57,1.5284,13.43,9.22,1798.23
2865,-1.8,30.16,30.3,36.51,14.51,14.45,15.63,1.52728,13.43,9.38,1798.54
2867,-1.43,30.38,30.4,36.79,14.14,14.11,15.1,1.52644,13.6,10.04,1798.13
2918,-2.85,29.56,29.64,32.47,15.67,16.27,16.57,1.5293,13.05,7.83,1797.45
2919,-2.76,29.99,29.95,33.05,14.72,14.97,15.17,1.52716,13.29,9.1,1797.76
2920,-2.58,30.52,30.08,33.8,15.2,14.84,15.43,1.52645,13.24,8.87,1798.28
2921,-2.45,31.07,30.56,34.27,14.82,14.41,14.92,1.52645,13.68,9.55,1798.57
2922,-2.26,31.78,30.62,34.84,15.04,14.44,15.08,1.52606,13.83,10.04,1797.74
2923,-2.11,32.96,31,35.96,15.08,14.44,15.09,1.52668,13.53,9.45,1798.04
3221,0.94,47,47.76,50.52,16.13,16.12,16.35,1.52669,13.01,8.36,1798.3
3268,1.74,47.32,46.86,51.89,14.46,14.43,15.2,1.5299,14.34,10.91,1797.73
3269,1.91,46.77,46.03,50.73,14.76,14.45,15.37,1.52721,14.06,10.43,1797.98
3270,2.09,46.22,44.94,50.14,14.42,14.2,14.98,1.52552,14.35,10.64,1797.54
3273,2.71,46.39,45.57,50.66,14.13,14.26,14.98,1.53025,14.2,10.52,1798.02
3285,5.12,48.04,48.16,53.92,14.79,15.12,15.54,1.52968,13.84,10.04,1797.78
3286,5.28,47.03,47.05,52.77,14.87,15.12,15.8,1.51023,13.22,8.39,1796.49
3317,5.19,50.99,50.96,53.95,16.46,16.55,15.78,1.52637,13.16,7.52,1797.78
3345,3.97,50.02,50.98,53.18,15.65,15.98,15.73,1.5261,13.16,8.65,1798
4157,-2.36,41.55,46.47,52.93,14.39,16.04,16.17,1.48787,13.37,8.77,1798.83
4160,-2.39,42.27,47.69,53.33,15.62,17.59,17.5,1.52659,13.05,8.16,1798.03
4177,-2.04,44.39,50.63,53.49,14.77,16.85,16.32,1.5279,13.05,8.61,1797.94
