残差红,残差蓝,残差黑,异常率红,异常率黑,,绿色基准线,绿色基准线
0.054569845,0.042096378,0.02962291,0,0,,0.068,70%
0.054262788,0.042907893,0.031552998,0,0,,,
0.055781241,0.043364968,0.030948694,0,0,,,
0.059029573,0.044988463,0.030947353,0,0,,,
0.061009506,0.045652168,0.03029483,0,0,,,
0.061285423,0.045923103,0.030560783,0,0,,,
0.061039318,0.045388575,0.029737833,0,0,,,
0.060779882,0.046033768,0.031287654,0,0,,,
0.060902973,0.047609442,0.034315911,0,0,,,
0.061726319,0.049736676,0.037747033,0,0,,,
0.061418833,0.049111473,0.036804113,0.025,0,,,
0.061258726,0.049886122,0.038513518,0.05,0,,,
0.060220028,0.049394192,0.038568357,0.075,0,,,
0.061120691,0.049688768,0.038256845,0.1,0,,,
0.058172717,0.047396855,0.036620993,0.125,0,,,
0.059532578,0.048191268,0.036849959,0.125,0,,,
0.059841109,0.049377761,0.038914413,0.125,0,,,
0.059482416,0.050113238,0.040744059,0.125,0,,,
0.061741224,0.051269809,0.040798394,0.125,0,,,
0.060708989,0.050276841,0.039844694,0.125,0,,,
0.061018117,0.049885271,0.038752426,0.125,0,,,
0.061658088,0.050515783,0.039373478,0.125,0,,,
0.061759439,0.050584019,0.0394086,0.15,0,,,
0.059037717,0.048930042,0.038822367,0.15,0,,,
0.060466147,0.050968427,0.041470707,0.175,0,,,
0.063252991,0.05193416,0.040615329,0.2,0,,,
0.065893398,0.053258084,0.04062277,0.225,0,,,
0.066457082,0.052453504,0.038449926,0.25,0,,,
0.064654534,0.050611702,0.036568871,0.275,0,,,
0.065062111,0.049617651,0.03417319,0.3,0,,,
0.065688783,0.051017229,0.036345675,0.325,0,,,
0.065142706,0.049563862,0.033985019,0.35,0,,,
0.06450585,0.049028445,0.033551041,0.375,0,,,
0.067180461,0.050811057,0.034441654,0.4,0,,,
0.066058455,0.050160766,0.034263076,0.425,0,,,
0.062463039,0.048383548,0.034304056,0.45,0,,,
0.057863955,0.046179857,0.03449576,0.475,0,,,
0.058390322,0.047235782,0.036081242,0.5,0,,,
0.062909452,0.049521856,0.036134261,0.525,0,,,
0.062474961,0.049937243,0.037399525,0.55,0,,,
0.062048595,0.049641441,0.037234287,0.575,0,,,
0.064330303,0.051993908,0.039657513,0.6,0,,,
0.064804895,0.051015907,0.03722692,0.625,0,,,
0.063614863,0.050552758,0.037490653,0.65,0,,,
0.066889869,0.051959522,0.037029176,0.65,0,,,
0.066866958,0.051816523,0.036766088,0.65,0,,,
0.06692151,0.051707033,0.036492555,0.65,0,,,
0.067969411,0.052554248,0.037139085,0.65,0,,,
0.06789555,0.052528229,0.037160908,0.65,0,,,
0.068189854,0.054102965,0.040016075,0.65,0,,,
0.070241879,0.055504829,0.04076778,0.625,0,,,
0.068804494,0.053628648,0.038452802,0.6,0,,,
0.069102467,0.055875956,0.042649446,0.575,0,,,
0.068547775,0.054954069,0.041360364,0.55,0,,,
0.065762527,0.053387195,0.041011864,0.525,0,,,
0.065929167,0.053118757,0.040308347,0.525,0,,,
0.067275189,0.055288623,0.043302058,0.525,0,,,
0.067178144,0.055221761,0.043265379,0.525,0,,,
0.066171702,0.054823285,0.043474868,0.55,0,,,
0.067452008,0.055520221,0.043588434,0.575,0,,,
0.065739061,0.053136147,0.040533233,0.6,0,,,
0.068658254,0.055522423,0.042386592,0.625,0,,,
0.067757147,0.054866086,0.041975025,0.625,0,,,
0.069011275,0.056206948,0.043402621,0.65,0,,,
0.069986233,0.057292493,0.044598753,0.65,0,,,
0.070172717,0.059432928,0.04869314,0.65,0,,,
0.070091183,0.057559638,0.045028093,0.65,0,,,
0.069845143,0.057171,0.044496857,0.65,0,,,
0.0694849,0.056923826,0.044362752,0.65,0,,,
0.070701081,0.057419245,0.04413741,0.65,0,,,
0.070516383,0.059837048,0.049157713,0.65,0,,,
0.070381451,0.059785154,0.049188857,0.65,0,,,
0.07041988,0.060154185,0.049888489,0.65,0,,,
0.070024999,0.059751193,0.049477388,0.65,0,,,
0.070860652,0.060202962,0.049545272,0.65,0,,,
0.071214731,0.057928377,0.044642022,0.65,0,,,
0.072132076,0.060229337,0.048326599,0.65,0,,,
0.072143774,0.06019481,0.048245845,0.65,0,,,
0.073101604,0.058563861,0.044026117,0.65,0,,,
0.072138112,0.058119961,0.044101809,0.65,0,,,
0.070740159,0.056193388,0.041646617,0.65,0,,,
0.068199411,0.054053049,0.039906687,0.65,0,,,
0.068517575,0.054237577,0.039957578,0.65,0,,,
0.067689827,0.053366985,0.039044142,0.65,0,,,
0.064690095,0.051888876,0.039087656,0.675,0,,,
0.06482186,0.053103857,0.041385855,0.7,0,,,
0.061142776,0.051780923,0.04241907,0.725,0,,,
0.061210455,0.05183051,0.042450566,0.75,0,,,
0.062325357,0.053664976,0.045004595,0.775,0,,,
0.059572592,0.05204141,0.044510229,0.8,0,,,
0.059436234,0.052255406,0.045074579,0.825,0,,,
0.059475145,0.052221774,0.044968404,0.85,0,,,
0.057735316,0.051487662,0.045240008,0.875,0,,,
0.061972582,0.053147216,0.044321851,0.9,0,,,
0.061917167,0.052991314,0.044065461,0.925,0,,,
0.064611925,0.054121244,0.043630562,0.95,0,,,
0.066461071,0.055094785,0.043728499,0.975,0,,,
0.069213012,0.056522652,0.043832292,1,0,,,
0.070956233,0.057291386,0.043626538,1,0,,,
0.070783751,0.057785023,0.044786295,1,0,,,
0.070598961,0.058263061,0.045927161,1,0,,,
0.070115941,0.05966247,0.049208999,1,0,,,
0.070053296,0.059783014,0.049512733,1,0,,,
0.070832549,0.060083957,0.049335365,1,0,,,
0.071858677,0.061926694,0.051994711,1,0,,,
0.071301653,0.061490798,0.051679944,1,0,,,
0.070916906,0.060315441,0.049713976,1,0,,,
0.070176831,0.059999111,0.049821391,1,0,,,
0.068299508,0.058330344,0.048361181,1,0,,,
0.068409287,0.058933723,0.049458158,1,0,,,
0.068357828,0.059273522,0.050189216,1,0,,,
0.068547215,0.059434443,0.05032167,1,0,,,
0.072363102,0.061547863,0.050732624,1,0,,,
0.072082964,0.061432203,0.050781442,1,0,,,
0.073924156,0.062056889,0.050189622,1,0,,,
0.073891137,0.061204448,0.048517759,1,0,,,
0.073938622,0.06211544,0.050292258,1,0,,,
0.073899526,0.060342255,0.046784985,1,0,,,
0.075181979,0.062026128,0.048870278,1,0,,,
0.075600289,0.062576998,0.049553707,1,0,,,
0.077251293,0.064109009,0.050966726,1,0,,,
0.079538222,0.065572243,0.051606264,1,0,,,
0.079362568,0.065499791,0.051637014,1,0,,,
0.078750111,0.064576881,0.050403651,1,0,,,
0.07716131,0.061750747,0.046340183,1,0,,,
